b2695cba-e585-4328-8640-ff5526d0f0c4,234985957,2020-12-15T08:37:16.412Z,2020-12-15T08:37:16.412Z,1,打客服先止付看看？,0,M
d103761b-0f7e-4402-a7d1-ba58df7a1739,234983761,2020-12-15T05:43:47.025Z,2020-12-15T05:43:47.025Z,6,"這個是必填的喔
一開始我也是很猶豫到底該不該填，填了帕會被盜用個資，但是不填東西過不了海關，後來有看新聞說這是財政部關務署所設立的作業系統，所以我就比較放心的填了資料",0,F
a09309f6-d890-404e-a6d8-1b6294697933,234983440,2020-12-15T03:12:42.736Z,2020-12-15T03:12:42.736Z,1,"我有在這家買過耳機保護套
因為我的機型很難找只有這家有
結果實體超薄的還不服貼
但是他只有99我也不奢求什麼還是將就著用啦
如果你想買安心就去買智選家～",1,F
3f046aca-7fdd-4cc4-a4e8-0f8a91b6c273,234983440,2020-12-15T06:23:53.048Z,2020-12-15T06:23:53.048Z,2,B1 了解！謝謝妳的分享，我後來在蝦皮有看到這家的賣場，好壞評價都有，看來品質很不一😐,0,F
3dd373c4-1123-44f0-a24d-8022198efd84,234983352,2020-12-14T18:34:03.056Z,2020-12-14T18:34:03.056Z,1,"https://i.imgur.com/McjF79u.jpg
https://i.imgur.com/yhE98Mh.jpg
https://i.imgur.com/0erW0LZ.jpg
https://i.imgur.com/Rwt9KEX.jpg
https://i.imgur.com/AeUlmAd.jpg
https://i.imgur.com/GLJxsPU.jpg",0,F
1543a1e2-810e-40a5-b228-e6e54a501f71,234983352,2020-12-14T19:12:54.622Z,2020-12-14T19:12:54.622Z,2,"通報 📢
好像有人對這篇文章有新想法唷，快來去看看！
  https://www.dcard.tw/f/buyonline/p/234983450",0,D
9edffd67-c249-4a51-ab8c-d693b73ff064,234983352,2020-12-15T08:47:00.956Z,2020-12-15T08:47:00.956Z,3,迪卡不能盈利喔,0,F
4d0f4cdd-b392-4767-a4ae-b6f96504a94c,234983190,2020-12-14T17:56:06.699Z,2020-12-14T17:56:06.699Z,1,準備紙箱﹑報紙﹑氣泡袋,0,M
921c815e-8058-40ea-9a3c-5d0842111c22,234983058,2020-12-15T08:43:00.653Z,2020-12-15T08:43:00.653Z,1,"手機淘寶有更多優惠，轉運功能也更足，淘寶lite的確還可以用，但很多功能被漸漸停掉，也少很多優惠，同樣的東西在手機淘寶訂會比lite便宜了快100元以上，如果發生訂單異常或被分批發貨什麼的追貨會更快更詳細，相對保障很多，但就是佔手機運行空間很大很吃電量。
lite不多說，就是當你東西訂完純粹查物流而已，或想逛一下不想被手機淘寶的推薦廣告轟炸可以用，因為流量小很多也省電。
只能說lite如果發生異常單真的很欲哭無淚，甚至只能白白損失手續費還拿不到貨，以上給您參考參考。",0,F
d096ca24-f8ff-45e2-aab9-2fecd613c6fc,234983029,2020-12-15T05:00:31.920Z,2020-12-15T05:00:31.920Z,1,"我買過2.3次！！
他們有些價錢比別人貴有些有便宜一些～
包裹裡面也會付一些小香或者是一些專櫃品牌的試用包",0,F
fbaa525c-053e-4ef8-924b-99f422f8e6c3,234983029,2020-12-15T05:58:47.226Z,2020-12-15T05:58:47.226Z,2,"B1 可以偷偷問你買什麼嗎！
他們的襯衫我都好喜歡🥺🥺🥺",0,F
53ffeb5a-51fd-4ac4-a229-17e5deb85242,234982658,2020-12-14T17:01:00.298Z,2020-12-14T17:01:00.298Z,1,那你幹嘛不直接買就好還要去團購,80,F
4d0e12d9-356e-47cf-9a38-2abd23766a79,234982658,2020-12-14T17:29:58.983Z,2020-12-14T17:29:58.983Z,2,B1 比較便宜！哈哈雖然才差27塊😢,2,F
2009ee6d-7a61-4b53-873b-9dcc98175eff,234982658,2020-12-15T03:15:01.958Z,2020-12-15T03:15:01.958Z,3,差27塊...@@,10,F
ebf2f6d2-a58f-4b6a-8f52-d2a85b1ad1ae,234982658,2020-12-15T04:37:11.322Z,2020-12-15T04:37:51.871Z,4,"要跟又要嫌
直接買不就好了",8,F
eb7ff4b0-6a53-47ed-bca9-1983156b32b9,234982658,2020-12-15T04:44:06.960Z,2020-12-15T04:44:06.960Z,5,啊沒跟過團購怎麼會知道蝦皮其他人使用情況不好,12,F
2ff7594c-6c91-4c1d-9f49-ea59ef1aaf70,234982658,2020-12-15T07:23:06.431Z,2020-12-15T07:23:06.431Z,6,27塊而已…………………,0,F
566e388c-9d15-4a23-9820-1fe8d78104fc,234982658,2020-12-15T07:43:03.244Z,2020-12-15T07:43:03.244Z,7,人數不足？？,0,F
8879a834-aeb1-47f8-bfe6-c9d587e704cf,234982658,2020-12-15T08:41:40.656Z,2020-12-15T08:41:40.656Z,8,27塊不用省啦  帳戶給我匯給妳270比較快,1,M
9090e41e-c51b-4822-8d23-41a07e1e614f,234982658,2020-12-15T08:43:55.303Z,2020-12-15T08:43:55.303Z,9,"為什麼要質疑那27塊啊@@
原po又不知道會發生這種事
27塊也可以吃一個蛋餅欸",1,F
5f46d2a4-d22d-4d05-98b8-6b9c891791ae,234982414,2020-12-15T05:33:36.506Z,2020-12-15T05:33:36.506Z,1,"2.大錯特錯
就算已經超過鑑賞期
只要商品有瑕疵
買家還是可以要求退換貨或減價收受",0,F
8fdf6f84-cc50-4ae2-aebb-6f89a9b35eec,234982100,2020-12-14T15:16:27.793Z,2020-12-14T15:16:27.793Z,1,想請問是單筆嗎？因為我1212下單了兩百，沒看到這個消息qq,0,F
c8fc7385-ed99-4f7d-99aa-2fb00e0e47a2,234982100,2020-12-14T15:24:21.393Z,2020-12-14T15:24:21.393Z,2,包郵「專區」 特定商品才有,3,F
1cc64f12-dab6-4118-a84e-4694b09c7b84,234982100,2020-12-14T15:25:15.797Z,2020-12-14T15:27:52.499Z,3,,,
99811530-616d-4d14-8db2-7cb3c9f1ce73,234982100,2020-12-14T15:27:42.600Z,2020-12-14T15:27:42.600Z,4,B2 剛剛看了下，請問包郵是只有專區小圖示的那9家店嗎？,0,F
79db27d7-685f-4004-902e-328231844b11,234982100,2020-12-14T16:01:37.506Z,2020-12-14T16:03:41.906Z,5,"B1 
不是歐 可以很多家一起買
指定店家湊到249人民幣就有免運了
而且店家還蠻多的
不是只有專區看到的9家店而已
我會先把訂單加入購物車後
會出現下方這個圖示
再點進去「湊單」看會找到更多東西
https://i.imgur.com/xDG8KqJ.jpg",0,F
8189423f-2bd1-4f16-81d1-5618f5353ab8,234982100,2020-12-14T16:02:48.244Z,2020-12-14T16:02:55.222Z,6,,,
59be96cd-b5b7-4c26-979e-80a967f291fb,234982100,2020-12-14T16:03:12.432Z,2020-12-14T16:03:12.432Z,7,B5 謝謝你的回答~~~,0,F
82d8c99f-77c2-43a7-a006-5aeb66f12606,234982100,2020-12-14T17:26:07.816Z,2020-12-14T17:26:07.816Z,8,要注意同一家不一定全部商品都是包郵 有好幾樣我付款才發現 只能申請退款了,0,M
a7215074-2cae-4b54-bded-2cfc3cc4ed8d,234982100,2020-12-14T17:36:15.263Z,2020-12-14T17:36:15.263Z,9,"這個超雷的，勸大家慎用！
當你選了249包郵，它是自動出庫，不是由你決定出庫時間。

但你以為包裹都到了就會立刻自動出庫嗎？
不是喔，今天問了客服，原來最快出庫時間要等六天，是第一包進庫開始算六天，如果再沒有新的249訂單進來，才會開始出貨；如果你剛好又下單新的東西了呢？系統又會再多等三天.....

本來原有的集運，只要入庫了就可以自己申請打包出庫，依現在海運時間大約四～九天會到。249卻硬生生多了六～九天....

你想說反正省一筆集運費，久一點沒關係嗎？
錯了，因為你無法控制你一包的價錢，我相信官方也不會幫你剛好包 2000台幣的商品為一包🙄，到時候你只是又課稅而已。

原有的海運你可以自己控制商品金額啊。",0,F
1d032f3c-706a-4491-9e00-934c48c46244,234982100,2020-12-15T00:06:10.237Z,2020-12-15T00:06:10.237Z,10,"B9 可是我這次買的經驗是12/10下單 
12/14我買的全部都已到集運商 
現在要來台灣了耶 
跟你說的不一樣",0,F
69cb1bf5-3433-4f51-935c-3b5c999d48bc,234982100,2020-12-15T04:19:48.233Z,2020-12-15T04:19:48.233Z,11,"B10 請問可以提供一下圖嗎？

也是官方說的啊，不是我說的，我一直要他們出貨他們就堅持說要等六天，真的雷爆了 🤬

我再去問了他一次，他說不可能不用等六天，問我要不要提供單號給他查是哪單不用六天就出庫",0,F
487ed8e9-5246-418e-b9ed-d8109a922340,234982100,2020-12-15T06:42:05.817Z,2020-12-15T06:42:05.817Z,12,"B11 我的也是全到就馬上出庫了
現在已經在大陸報關了😂",0,F
2f974b89-983b-4063-8c6d-c2db55a6dc36,234981905,2020-12-14T17:07:59.311Z,2020-12-14T17:09:13.993Z,1,"我有買第一家
這款毛衣的織法沒有很密、磅數也沒想像中厚、重量偏重一點
保暖程度3/5
太冷裡面還是要穿發熱衣",0,F
963d2714-b674-4181-a0c3-3c8c9ff512a2,234981905,2020-12-14T17:17:38.260Z,2020-12-14T17:17:38.260Z,2,我會買3,2,F
46c0b0d3-e886-47c5-b922-76832b6144c5,234981905,2020-12-15T04:37:39.681Z,2020-12-15T04:37:39.681Z,3,B1 請問材質摸起來是親膚的嗎🥺,0,F
be810a63-4959-4a28-abb4-04c63c4f19d1,234981905,2020-12-15T04:39:39.224Z,2020-12-15T04:40:23.023Z,4,"B3 對 我自己也是敏感肌，但單穿不會刺癢
但是還是要看個人
不過這家可以退貨啊～
如果真的會癢可以反應直接退
單是可以退貨這點我無條件推👍",1,F
8eeb9b72-3331-47f1-99b7-8f6761a25f39,234981681,2020-12-14T14:49:39.779Z,2020-12-14T14:49:39.779Z,1,"大概是折扣根本負荷不了吧

蝦皮取消訂單的原因只有
1.缺貨2.無法運送範圍
這兩個可選擇而已",10,F
18f1f406-a2ca-4825-9671-d16838c10a11,234981681,2020-12-14T14:52:29.763Z,2020-12-14T14:52:29.763Z,2,"不只這家店
這次好像很多人都被取消欸
發券增加曝光率再來取消訂單這樣
檢舉起來~~~",5,F
311ab7ae-f388-4606-b564-38abca37648b,234981681,2020-12-14T16:07:41.942Z,2020-12-15T03:58:12.736Z,3,"B1 如果店家好好的解釋，我是可以理解，但一直刪留言，也不聯繫不說明就真的很令人生氣！也是我爆氣的原因

既然選擇做這個折扣就要有有擔當吧⋯⋯

沒被取消過訂單，原來只有這兩個選項喔！",0,F
11638c4f-7610-453c-99bd-d6050fbf98ab,234981681,2020-12-14T16:13:56.249Z,2020-12-14T16:13:56.249Z,4,"B2 真的！又不是被逼迫要辦這活動！
蹭曝光也是自己的決定啊
重點這店家
是自己舉辦活動，自己發送的優惠卷！
結果是辦心酸的嗎！根本整人遊戲
已檢舉他們😡",1,F
5c709ee5-b54b-41d0-a2d1-17885ac46007,234981681,2020-12-15T02:01:56.031Z,2020-12-15T02:01:56.031Z,5,蝦皮賣家要取消訂單就只有「無法運送範圍」跟「缺貨」兩種可選而已 沒有別的選項,0,F
c8c2579a-fb07-43e5-bcc1-348fe13f74e3,234981681,2020-12-15T03:57:22.612Z,2020-12-15T03:59:30.285Z,6,"B5 原來...因為沒被取消過訂單不知道只有這兩個選項，但當下真的是會讓人無言到...

現在店家就是一個，我有提供補償方案，你要不要的態度...

不知道能不能詢問你，為什麼店家可以單方面取消訂單啊？",0,F
def2c372-a136-49b9-b893-f738193273c5,234981681,2020-12-15T03:57:34.705Z,2020-12-15T03:57:34.705Z,7,"我遇到賣家要求由我取消
理由是缺貨
想取消又不想有紀錄
一直叫我按取消
不想鳥他🙄",0,F
2032e359-a597-4ccd-9d77-c3cdb9a5009d,234981681,2020-12-15T05:24:50.721Z,2020-12-15T05:24:50.721Z,8,"這種100元以上五折的
我會先私訊確定是不是真的五折
只要私訊的時候跟我說是五折
下訂了卻跑單我就告他詐欺",0,M
6d71b933-c7c0-48ae-93bb-503531fe1689,234981681,2020-12-15T06:36:25.982Z,2020-12-15T06:36:25.982Z,9,"我也遇到要求取消
說是蝦皮發錯
他們那邊也沒辦法使用優惠：）
煩欸那時候花時間搶了 結果根本在浪費時間",0,F
9daa7777-62e5-4c51-a741-cbea1bc46b8c,234981681,2020-12-15T06:45:45.390Z,2020-12-15T06:45:45.390Z,10,"B9 那是賣家的說詞
報名參加促銷活動蝦皮都有說明清楚
賣家自己沒搞懂自以為可以免費做廣告
事後發現自己誤會還不想承擔
不出貨沒關係
有擔當一點，賣家自己要取消
而不是不想有取消紀錄
轉而要求消費者做取消的動作
這種的我絕對不會乖乖照做",0,F
fa3a39a5-93d4-4e9e-83b8-52118ba4ad4e,234981628,2020-12-14T18:18:06.257Z,2020-12-14T18:18:06.257Z,1,我用的是SKG！,0,F
5a536e02-529e-4468-9cf4-6fa6bb07ed8b,234981628,2020-12-14T23:49:44.360Z,2020-12-14T23:49:44.360Z,2,B1  請問用的感受如何  真的有舒緩到嗎,0,F
3a2485a3-dc43-4362-80bd-1146bf79f2a0,234981458,2020-12-14T14:01:56.462Z,2020-12-14T14:01:56.462Z,1,"還行吧
兩邊態度都還可以
不過出錯貨本來就是他的問題
既然可以拿回免運券
我覺得也不用再跟他買了",92,F
7dfc3e13-80e4-4832-848e-292ce6fce49f,234981458,2020-12-14T14:53:58.499Z,2020-12-14T14:53:58.499Z,2,賣家講話不會修飾 建議退完換個賣家買,74,F
a7717712-eec1-46cc-84c7-ca35c72fdf15,234981458,2020-12-14T15:18:36.155Z,2020-12-14T15:18:36.155Z,3,恩 妳的熱心 他不領情,1,F
d63b86f9-326b-4f01-9987-7d1249845b77,234981458,2020-12-14T17:13:21.557Z,2020-12-14T17:13:21.557Z,4,不要跟他買了 自己做錯還不容許別人提醒,42,F
2b22a109-f9d9-43bc-acd4-5845d7be110f,234981458,2020-12-14T23:59:07.209Z,2020-12-14T23:59:07.209Z,5,認同樓上,3,F
17123eea-2a16-4d14-b1d6-c755e690cabe,234981458,2020-12-15T00:53:40.738Z,2020-12-15T00:53:40.738Z,6,"覺得還好啊
你滿玻璃心的",3,F
30fb9e72-6cf9-40b9-80b9-35365a52c345,234981458,2020-12-15T01:33:51.510Z,2020-12-15T01:33:51.510Z,7,"退貨在一定數量內賣家其實是不用負擔運費的
蝦皮一個月好像有給一些數量
不過寄錯完全沒有歉意，那些回答雖然制式
但看了實在很不爽，直接換家吧",1,F
b77b905c-d63d-42ea-a086-3b8f4542a70b,234981458,2020-12-15T03:13:45.999Z,2020-12-15T03:13:45.999Z,8,"我覺得
賣家如果是外國人就很正常😂

其實他說的很有道理，只是因為回覆很像機器人一樣沒有感情所以你感到不愉快。而且他也不知道你是用哪種免運卷買的，在你回報送錯當下馬上回覆你而且告訴你退貨流程跟願意付運費，該做都都做了。
在懶一點退貨流程都叫你自己查。

雙方都沒有錯，只是你不喜歡他的服務。",0,F
28e4387b-5531-4db5-8f5c-7f27a299774d,234981304,2020-12-14T13:18:22.601Z,2020-12-14T13:18:22.601Z,1,你擔心的風險是啥,0,F
c5e58fd1-2c70-47ee-ba08-34037af0fce8,234981304,2020-12-14T13:18:48.526Z,2020-12-14T13:18:48.526Z,2,B1 品質,0,F
79e4e013-826a-43e2-afdb-dfa2226791c3,234981304,2020-12-14T14:42:37.483Z,2020-12-14T14:42:37.483Z,3,直接去實體店面買比較快,0,M
cb58be8f-e606-408d-a204-7516ff3dd0d9,234981081,2020-12-14T15:12:06.245Z,2020-12-14T15:12:06.245Z,1,"真的 還在那裝可憐⋯
不可否認賣家很辛苦 但搶券的大家都ㄅㄑ嗎
說是🦐皮活動坑 也是你自己不看活動的啊
你當🦐皮真的是在做慈善喔笑死😇",4,F
59bf5407-4630-40e8-99a6-055f369945d7,234981081,2020-12-15T06:50:10.380Z,2020-12-15T06:50:10.380Z,2,"自作自受
要取消沒關係
竟然還要求由消費者這邊按取消
我就放著不管
賣家不主動取消也不出貨
期限到我就來檢舉",0,F
0a7db77f-c466-451d-ae60-11c1e5d63b79,234981058,2020-12-14T12:46:25.350Z,2020-12-14T12:46:25.350Z,1,"直接去實體店面買會不會比較安心⋯？
蝦皮最近的假貨太猖狂了",5,F
73a60231-25d2-4003-98a7-fd0f1e48960e,234981058,2020-12-14T16:28:17.272Z,2020-12-14T16:28:17.272Z,2,穩爆,1,F
100af481-35aa-43d2-9956-9fdc5e4a2ca8,234981058,2020-12-14T17:11:29.504Z,2020-12-14T17:11:29.504Z,3,"我說穩

但是你能確定我不是親友團？",0,F
10549d88-9062-4ebc-b5f4-9c1598df4415,234981013,2020-12-15T05:25:17.548Z,2020-12-15T05:25:17.548Z,1,Add,0,F
0afdca5b-d4e6-4816-b33a-60d69e66ba67,234980927,2020-12-14T14:11:52.928Z,2020-12-14T14:11:52.928Z,1,"別擔心
雙11的都....
我就不說了",43,F
